Author,OA_Profile,Geographic Trajectory,Years in the US,Years in China,Geographic Trajectory (simplified),Geographic Trajectory (even more simplified),1980,1981,1987,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Yao Yang,https://openalex.org/A5102228653,United States ---> China,1,12,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,,,,,,,United States,,,,,,,China,China,China,China,,China,China,China,China,China,China,China,China,
Yichang Zhang,https://openalex.org/A5013763116,China ---> United States ---> China ---> United States ---> China,3,7,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,China,,China,,,,China,United States,China,China,United States,United States,China,China
Yinger Zhang,https://openalex.org/A5008134938,China,0,4,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,,,
Yu Wan,https://openalex.org/A5102730714,China,0,13,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,China,China,China,China,China,China,China,China
Yuanzhi Zhu,https://openalex.org/A5011605104,China ---> Switzerland ---> China,0,14,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,China,,,,China,,China,China,China,China,China,China,China,Switzerland,China,China,China,China,China
Yuanzhong Xu,https://openalex.org/A5059281265,China ---> Italy ---> United States ---> China ---> United States ---> India ---> United States ---> Italy ---> United States,12,6,Multinational Travel ---> United States,"Started in China, Ended up in United States",,,,,,,,,,,,,,,,,,China,China,China,China,China,Italy,United States,United States,China,United States,United States,India,United States,United States,Italy,United States,United States,United States,United States,,United States,United States,
Yunfei Chu,https://openalex.org/A5111905144,United States ---> China,9,4,Multinational Travel ---> China,"Started in United States, Ended up in China",,,,,,,,,,,,,,,,,,,,,United States,United States,United States,United States,United States,United States,United States,United States,United States,,,,,China,,,China,China,China,
Yuqin Wan,https://openalex.org/A5017645661,China ---> United States ---> China ---> Canada ---> China,1,17,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,China,China,China,China,United States,,,China,China,China,China,Canada,China,China,China,China,China,,China,China,China,China,
Yuqiong Liu,https://openalex.org/A5001634411,Singapore ---> United States ---> China ---> United States ---> China ---> United States ---> China ---> United States ---> China ---> United States ---> China,10,13,Multinational Travel ---> China,"Started in Singapore, Ended up in China",,,,,,,,,,,Singapore,Singapore,,,,,United States,United States,United States,United States,China,China,China,United States,China,China,United States,United States,United States,China,United States,China,China,China,United States,China,China,China,China,
Zekun Wang,https://openalex.org/A5055261249,China,0,1,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,
Zeyu Cui,https://openalex.org/A5101250820,China,0,6,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,China,China,China
Zhang Hang,https://openalex.org/A5062819361,China ---> Taiwan ---> China ---> Canada ---> China,0,23,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,China,,,,,,,,,,China,China,Taiwan,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,Canada,China,
Zhangping Fu,https://openalex.org/A5055194387,China,0,2,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,China,
Zhaohai Li,https://openalex.org/A5112985512,China,0,1,Affiliated with one country,Started and Ended in China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,
Zheng Yuan,https://openalex.org/A5020682113,Vietnam ---> China ---> United States ---> China ---> Taiwan ---> China ---> United States ---> China,3,14,Multinational Travel ---> China,"Started in Vietnam, Ended up in China",,,,,,,,,,,,,,,Vietnam,,,Vietnam,,China,China,,,United States,China,,China,China,Taiwan,China,China,United States,United States,China,China,China,China,China,China,China
Zhenru Zhang,https://openalex.org/A5032572801,China ---> United States,1,1,Multinational Travel ---> United States,"Started in China, Ended up in United States",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,United States,,
Zhibo Yang,https://openalex.org/A5052757063,China ---> United States ---> China,3,2,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,United States,United States,United States,China,
Zhifang Guo,https://openalex.org/A5114164809,China ---> Australia ---> China,0,3,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,China,
Zhihao Fan,https://openalex.org/A5078689432,China ---> United States ---> China ---> United States,2,7,Multinational Travel ---> United States,"Started in China, Ended up in United States",,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,China,China,China,China,China,United States,China,United States,
Zhipeng Zhou,https://openalex.org/A5101531952,China ---> United States ---> China,1,6,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,China,China,United States,China,China,China
Zihan Qiu,https://openalex.org/A5083808534,China ---> United States ---> China,2,6,Multinational Travel ---> China,Started and Ended in China (with travel in between),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,United States,United States,China,China,China,China,China,
Zong‐Ming Cheng,https://openalex.org/A5037196765,United States ---> China ---> United States,25,1,Multinational Travel ---> United States,Started and Ended in United States (with travel in between),,,,,,,,,United States,United States,,,United States,United States,,,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,China,United States,United States,United States,United States,United States,United States,United States,United States,United States,United States,,United States,
