Author,No. Papers,Notes,OA_Profile,OA_ID,Papers
Y F Young Charles,1,,https://openalex.org/A5063970948,A5063970948,1
Y. Charles,2,,https://openalex.org/A5124942513,A5124942513,"3, 6"
Y. H. Zhang,1,,https://openalex.org/A5124874537,A5124874537,6
Y. Liu,1,,https://openalex.org/A5113647044,A5113647044,1
Y.J. Yan,1,,https://openalex.org/A5108323647,A5108323647,2
Yadong Zhang,2,,https://openalex.org/A5124941840,A5124941840,"3, 6"
Yan Zhong,1,,https://openalex.org/A5110992737,A5110992737,2
Yanfei Hu,1,,https://openalex.org/A5101788799,A5101788799,5
Yang Li,3,,https://openalex.org/A5100421764,A5100421764,"1, 3, 6"
Yang Liu,1,,https://openalex.org/A5100355638,A5100355638,2
Yang Yue,1,,https://openalex.org/A5124914244,A5124914244,6
Yangchuan Xu,2,,https://openalex.org/A5070026343,A5070026343,"3, 6"
Yangkun Zhang,2,,https://openalex.org/A5124942988,A5124942988,"3, 6"
Yangyang Hu,4,,https://openalex.org/A5101075955,A5101075955,"1, 2, 3, 6"
Yangyang Liu,2,,https://openalex.org/A5100393314,A5100393314,"1, 3"
Yanhao Li,2,,https://openalex.org/A5124878767,A5124878767,"3, 6"
Yanming Liu,1,,https://openalex.org/A5124918447,A5124918447,6
Yann Philippe Charles,1,,https://openalex.org/A5076124480,A5076124480,2
Yanru Chen,5,,https://openalex.org/A5100695889,A5100695889,"1, 2, 3, 4, 6"
Yanxu Chen,1,,https://openalex.org/A5124945317,A5124945317,6
Yao Wang,2,,https://openalex.org/A5124908875,A5124908875,"3, 6"
