id,institution_name,direct_author_count,total_author_count,direct_works_count,total_works_count,direct_citations,total_citations,num_children,num_ancestors,has_parent,is_parent
https://openalex.org/I4210146715,National Institute of Pharmaceutical Education and Research,1,1,1289,1289,37175,37175,0,0,False,False
https://openalex.org/I2802849423,University Medical Center,1,1,47229,47229,2024363,2024363,0,0,False,False
https://openalex.org/I192389796,Humboldt State University,1,1,11380,11380,293007,293007,0,1,True,False
https://openalex.org/I160992636,Toyota Technological Institute at Chicago,1,1,1864,1864,120932,120932,0,0,False,False
https://openalex.org/I73613424,National Institute of Advanced Industrial Science and Technology,1,1,88088,88088,2299851,2299851,1,0,False,True
https://openalex.org/I4210151386,Janssen (United States),1,1,11720,11720,361622,361622,0,1,True,False
https://openalex.org/I4210115321,Centro Tecnológico del Mueble y la Madera de la Región de Murcia,1,1,228,228,4418,4418,0,0,False,False
https://openalex.org/I1328943360,Saint Petersburg Academic University,1,1,2094,2094,62589,62589,0,2,True,False
https://openalex.org/I141649380,Western Michigan University,1,1,27559,27559,485031,485031,1,0,False,True
https://openalex.org/I4210165112,Leo Pharma (Denmark),1,1,1249,1249,36454,36454,5,1,True,True
https://openalex.org/I4210128565,CEA Paris-Saclay,1,1,64375,64375,2424304,2424304,4,2,True,True
https://openalex.org/I4210153468,Microsoft (Canada),1,1,257,257,7648,7648,0,1,True,False
https://openalex.org/I4210137436,JSS Science and Technology University,1,1,1727,1727,14671,14671,0,0,False,False
https://openalex.org/I4210146710,Mayo Clinic in Florida,1,1,58827,58827,1953964,1953964,1,1,True,True
https://openalex.org/I4210100934,Cangzhou Central Hospital,1,1,2633,2633,25523,25523,0,0,False,False
https://openalex.org/I1327020802,Geological Survey of Canada,1,1,12567,12567,491689,491689,0,2,True,False
https://openalex.org/I110152177,University of Akron,1,1,33140,33140,801174,801174,0,1,True,False
https://openalex.org/I165283593,École des Hautes Études en Santé Publique,1,1,9410,9410,155478,155478,2,0,False,True
https://openalex.org/I4210126328,IBM Research - Zurich,1,1,8067,8067,430906,430906,0,2,True,False
https://openalex.org/I68171755,National Defense Medical Center,1,1,19368,19368,424763,424763,0,0,False,False
https://openalex.org/I208333798,University of Missouri–St. Louis,1,1,17418,17418,560505,560505,1,1,True,True
https://openalex.org/I62916508,Technical University of Munich,1,1,187969,187969,5936953,5936953,7,0,False,True
https://openalex.org/I2801980284,University of Vermont Medical Center,1,1,5679,5679,173366,173366,0,0,False,False
https://openalex.org/I129774422,University of Vienna,1,1,140960,140960,3990465,3990465,4,0,False,True
https://openalex.org/I4210092774,Hôpital Cochin,1,1,25694,25694,852930,852930,0,2,True,False
https://openalex.org/I1320133117,Royal Adelaide Hospital,1,1,17706,17706,555760,555760,0,1,True,False
https://openalex.org/I4210157891,NOAA National Centers for Environmental Information,1,1,1789,1789,164160,164160,0,3,True,False
https://openalex.org/I4210167263,South African Institute for Medical Research,1,1,2640,2640,75687,75687,0,1,True,False
https://openalex.org/I155173764,Rochester Institute of Technology,1,1,26749,26749,601328,601328,0,0,False,False
https://openalex.org/I134421475,National Physical Laboratory,1,1,17582,17582,418539,418539,0,0,False,False
https://openalex.org/I114662689,Leidos (United States),1,1,6101,6101,225702,225702,1,0,False,True
https://openalex.org/I4210156573,Bassett Medical Center,1,1,1882,1882,49233,49233,0,1,True,False
https://openalex.org/I4210148567,Pfizer (China),1,1,446,446,8352,8352,0,1,True,False
https://openalex.org/I78757542,University of Newcastle Australia,1,1,65806,65806,1990375,1990375,1,0,False,True
https://openalex.org/I2801012209,Albert B. Chandler Hospital,1,1,2291,2291,77611,77611,0,1,True,False
https://openalex.org/I223822909,Heidelberg University,1,1,260906,260906,9337921,9337921,4,0,False,True
https://openalex.org/I4210121626,Signal Processing (United States),1,1,4820,4820,72330,72330,0,0,False,False
https://openalex.org/I4405392,Boğaziçi University,1,1,21094,21094,569799,569799,1,0,False,True
https://openalex.org/I135237710,Zhejiang Normal University,1,1,27264,27264,415175,415175,0,0,False,False
https://openalex.org/I4210133110,Tampere University,1,1,71594,71594,2002522,2002522,0,0,False,False
https://openalex.org/I4210088741,Clinical Research Institute,1,1,16462,16462,729899,729899,0,0,False,False
https://openalex.org/I4210087915,Massachusetts General Hospital,1,1,215596,215596,11932595,11932595,7,1,True,True
https://openalex.org/I51226738,Dong-A University,1,1,14996,14996,265724,265724,0,0,False,False
https://openalex.org/I98301712,Baidu (China),1,1,5418,5418,137609,137609,0,0,False,False
https://openalex.org/I4210138199,University of Washington Applied Physics Laboratory,1,1,5565,5565,198310,198310,0,1,True,False
https://openalex.org/I3018771216,LMU Klinikum,1,1,33222,33222,566752,566752,4,1,True,True
https://openalex.org/I129877168,Carl von Ossietzky Universität Oldenburg,1,1,30852,30852,722602,722602,3,0,False,True
https://openalex.org/I4210116506,Wyoming Department of Education,1,1,9175,9175,133034,133034,0,0,False,False
https://openalex.org/I32062511,Heriot-Watt University,1,1,31151,31151,814985,814985,2,0,False,True
https://openalex.org/I926333354,Tetra Tech (United States),1,1,1837,1837,41142,41142,2,0,False,True
https://openalex.org/I17626003,University of Rhode Island,1,1,37196,37196,1206301,1206301,2,0,False,True
https://openalex.org/I4210157790,Statistical Research (United States),1,1,2144,2144,99968,99968,0,0,False,False
https://openalex.org/I2802835388,Seoul National University Hospital,1,1,39220,39220,948467,948467,2,0,False,True
https://openalex.org/I4210109427,The Japanese Society of Gastroenterological Surgery,1,1,631,631,17763,17763,0,0,False,False
https://openalex.org/I1340584023,North Carolina Department of Environmental Quality,1,1,470,470,16410,16410,1,0,False,True
https://openalex.org/I4210091198,E-Da Hospital,1,1,4471,4471,78977,78977,0,0,False,False
https://openalex.org/I4210156679,Vietnam Academy of Agricultural Sciences,1,1,510,510,11553,11553,0,0,False,False
https://openalex.org/I4210097601,The University of Kansas Cancer Center,1,1,2719,2719,76299,76299,0,0,False,False
https://openalex.org/I1319677595,Torrance Memorial Medical Center,1,1,1153,1153,24773,24773,0,0,False,False
https://openalex.org/I3129535883,Coquitlam College,1,1,263,263,3334,3334,0,0,False,False
